,genes,state,dev,pval
84,ATP5MPL_ATP5F1E_SELENOP,110,11.816387135142909,8.855545784001256e-24
386,PRDM1_CXCR4_VIM_SRGN,1111,11.690714855859808,4.621185268332772e-153
230,PKD2_GRN_IGFBP7,111,11.634504367434241,1.2936604080947893e-08
231,SLC2A3_CXCR4_SRGN,111,11.587995220629042,3.4506459045767985e-61
29,SELENOF_RACK1_ATP5F1E,101,11.538891562231585,2.6656287903562382e-14
232,NFIA_FN1_SPARC,111,11.51959879073581,5.812923267953491e-51
387,SERPING1_GATM_C3_FGG,1111,11.491704931519937,5.255500550571978e-10
367,IL2RB_KLRB1_IL7R_CCL5,0111,11.44288491064751,4.810778511785825e-253
75,ATP5PO_RACK1_SELENOP,101,11.283091542705787,1.880745815977111e-13
233,SLC2A3_FOS_CXCR4,111,11.253846696781482,1.931486583954047e-13
234,FGF19_APOB_MLXIPL,111,11.149474471538845,1.9402387049762395e-22
235,FASN_SCD_FN1,111,11.138037617452161,1.1995638072034663e-28
92,MATR3_RACK1_SELENOP,110,11.110160930390208,2.366127341409199e-13
236,ALDH3A2_SCD_PAH,111,11.106406690598964,9.773271596060089e-08
237,EMB_CCL5_SRGN,111,11.017306725178136,3.585896061317998e-171
72,CRYBG1_RACK1_ATP5F1E,110,10.957499142901668,1.730259606697583e-10
238,APP_GNAS_GRN,111,10.947583280532296,2.3456787071797494e-26
239,AKR1C2_ALDH1A1_ITIH2,111,10.802072577489723,6.685159936512801e-44
91,MATR3_RACK1_SELENOP,101,10.73632619939674,1.874814493836891e-12
54,RTRAF_RACK1_ATP5F1E,110,10.693641794970873,2.2612140365560433e-10
240,CTSL_CTSB_LYZ,111,10.675569230769232,6.53479386127872e-07
241,CYP2C9_HPX_GC,111,10.583895695959326,6.322947894431897e-100
242,AREG_KLRB1_CXCR4,111,10.406397606872677,8.65436098616e-48
243,NFIA_SPARC_SELENOP,111,10.353301475654309,1.3786047629630095e-13
244,RNF130_CST3_FCER1G,111,10.312230503525505,9.197272743413746e-55
79,ATP5PO_ATP5F1E_SELENOP,101,10.105065175130534,9.09763558945651e-13
38,ATP5F1B_RACK1_SELENOP,110,10.021383914019424,4.581588908460571e-10
245,PIM2_LTB_SRGN,111,10.016446329878342,2.170218723488692e-32
246,RGS16_KLRB1_VIM,111,10.011229385307345,2.126565046549268e-09
301,ATP5F1A_RACK1_ATP5F1E_SELENOP,0110,9.991314100537789,2.569319220202227e-47
132,EREG_IL1B_FCN1,101,9.956790340749086,2.4684489618766343e-13
117,ADAMTS1_CLDN5_SPARC,011,9.910922610650605,1.7420593694531683e-72
