"","Cycle","Stress","Interferon","Hypoxia","Oxphos","Metal","Mesenchymal","pEMT","Alveolar","Basal","Squamous","Glandular","Ciliated","AC","OPC"
"37","CCNE2","CLDN4","GLUL","RGCC",,,,"EMP3",,,"MALL","NQO1","SPATA18",,
"38","CCT5","CLK1","HAPLN3","SLC16A1",,,,"ENO1",,,"P2RY2","OLFM4","TPPP3",,
"39","CDC20","CSRNP1","HELZ2","SLC16A3",,,,"F3",,,"PKP1","ONECUT2","UBXN10",,
"40","CDC25B","CXCL1","HERC5","SLC2A1",,,,"FLNA",,,"PLA2G4E","PGC",,,
"41","CDC45","CXCL2","HERC6","SLC2A3",,,,"FLNB",,,"PRSS3","PHGR1",,,
"42","CDC6","CXCL3","HLA-A","SLC6A8",,,,"FSTL3",,,"PVRL4","PIGR",,,
"43","CDCA2","CXCL5","HLA-B","SNCG",,,,"FTL",,,"RAB25","PLA2G2A",,,
"44","CDCA3","CXCL8","HLA-C","SPAG4",,,,"G0S2",,,"RHOV","PLAC8",,,
"45","CDCA4","CYP1B1","HLA-DMA","TMEM91",,,,"G6PD",,,"S100A14","PLAT",,,
"46","CDCA5","CYR61","HLA-DMB","VEGFA",,,,"GAPDH",,,"S100A7","PPP1R1B",,,
"47","CDCA7","DAPP1","HLA-DPA1",,,,,"GJB6",,,"S100A8","PSCA",,,
"48","CDCA8","DEPP1","HLA-DPB1",,,,,"GLO1",,,"S100A9","PTGES",,,
"49","CDK1","DNAJA1","HLA-DQA1",,,,,"GPI",,,"SAA2","REG1A",,,
"50","CDKN3","DNAJA4","HLA-DQA2",,,,,"GPX1",,,"SBSN","REG4",,,
"51","CDT1","DNAJB1","HLA-DQB1",,,,,"HMGA1",,,"SERPINB13","RNASE1",,,
"52","CENPA","DNAJB4","HLA-DRA",,,,,"IGFBP2",,,"SERPINB3","S100A4",,,
"53","CENPE","DSC3","HLA-DRB1",,,,,"IGFBP6",,,"SERPINB4","S100P",,,
"54","CENPF","DUSP1","HLA-DRB5",,,,,"IGFBP7",,,"SLPI","SCD",,,
"55","CENPH","DUSP10","HLA-E",,,,,"INHBA",,,"SPINK5","SCGB1D2",,,
"56","CENPK","DUSP14","HLA-F",,,,,"ITGA6",,,"SPRR1B","SERPINA1",,,
"57","CENPM","DUSP2","HSPB8",,,,,"ITGB1",,,"SPRR2A","SERPINB1",,,
"58","CENPN","DUSP5","ICAM1",,,,,"ITGB6",,,"SPRR2D","SFTPD",,,
"59","CENPU","EDN1","IDO1",,,,,"ITGB8",,,"SULT2B1","SPINK1",,,
"60","CENPW","EFNA1","IFI16",,,,,"ITM2B",,,"THBD","SPINT2",,,
"61","CEP55","EGR1","IFI27",,,,,"KLK6",,,"TMEM45A","SQLE",,,
"62","CHAF1A","EGR2","IFI35",,,,,"KRT17",,,"TMPRSS4","TCN1",,,
"63","CHEK1","EGR3","IFI44",,,,,"KRT18",,,"TUBB2A","TFF1",,,
"64","CKAP2","EHF","IFI44L",,,,,"KRT19",,,"ZNF750","TFF2",,,
"65","CKAP2L","EIF4A2","IFI6",,,,,"KRT7",,,,"TFF3",,,
"66","CKAP5","ELF3","IFIH1",,,,,"KRT8",,,,"TM4SF4",,,
"67","CKLF","EMP1","IFIT1",,,,,"KYNU",,,,"TMEM176A",,,
"68","CKS1B","EPHA2","IFIT2",,,,,"LAMA3",,,,"TMEM176B",,,
"69","CKS2","EREG","IFIT3",,,,,"LAMB3",,,,"TSPAN8",,,
"70","CLSPN","ERRFI1","IFITM1",,,,,"LAMC2",,,,"WFDC2",,,
"71","CMC2","ETS2","IFITM2",,,,,"LGALS1",,,,,,,
"72","CNIH4","FADS3","IFITM3",,,,,"LGALS3",,,,,,,
"73","CRNDE","FAM133B","IL32",,,,,"LINC00152",,,,,,,
"74","DBF4","FAM46A","IRF1",,,,,"MGST1",,,,,,,
"75","DDX39A","FAM53C","IRF7",,,,,"MIF",,,,,,,
"76","DEK","FGFR3","ISG15",,,,,"MMP1",,,,,,,
"77","DEPDC1","FHL2","ISG20",,,,,"MMP3",,,,,,,
"78","DEPDC1B","FKBP4","KLHDC7B",,,,,"MT1E",,,,,,,
"79","DHFR","FOS","LAMP3",,,,,"MT2A",,,,,,,
"80","DIAPH3","FOSB","LAP3",,,,,"MYH9",,,,,,,
"81","DLGAP5","FOSL1","LGALS3BP",,,,,"MYL12B",,,,,,,
"82","DNAJC9","FOSL2","LGALS9",,,,,"MYL6",,,,,,,
"83","DNMT1","FRMD4B","LY6E",,,,,"MYO1B",,,,,,,
"84","DONSON","FUS","MDK",,,,,"OCIAD2",,,,,,,
"85","DSN1","GADD45A","MSRB1",,,,,"ODC1",,,,,,,
"86","DTL","GADD45B","MX1",,,,,"PDLIM4",,,,,,,
"87","DTYMK","GADD45G","MX2",,,,,"PDLIM7",,,,,,,
"88","DUT","GDF15","NNMT",,,,,"PDPN",,,,,,,
"89","E2F1","GEM","NT5C3A",,,,,"PFN1",,,,,,,
"90","ECT2","GOLGB1","NUB1",,,,,"PFN2",,,,,,,
"91","EZH2","HBEGF","OAS1",,,,,"PGAM1",,,,,,,
"92","FADS1","HES1","OAS2",,,,,"PKM",,,,,,,
"93","FAM111A","HEXIM1","OAS3",,,,,"PLA2G16",,,,,,,
"94","FAM111B","HNRNPU-AS1","OASL",,,,,"PLAU",,,,,,,
"95","FAM64A","HSP90AA1","PARP14",,,,,"PLEK2",,,,,,,
"96","FAM83D","HSPA1A","PARP9",,,,,"PLP2",,,,,,,
"97","FANCA","HSPA1B","PDZK1IP1",,,,,"PMEPA1",,,,,,,
"98","FANCD2","HSPA5","PLSCR1",,,,,"PODXL",,,,,,,
"99","FANCI","HSPA6","PSMB10",,,,,"PRKCDBP",,,,,,,
"100","FBLN1","HSPA8","PSMB8",,,,,"PRSS23",,,,,,,
"101","FBXO5","HSPB1","PSMB9",,,,,"PTRF",,,,,,,
"102","FEN1","HSPH1","PSME1",,,,,"RBP1",,,,,,,
"103","FOXM1","ID1","PSME2",,,,,"RHOC",,,,,,,
"104","GGCT","ID2","RARRES3",,,,,"RHOD",,,,,,,
"105","GGH","IER2","RNF213",,,,,"S100A10",,,,,,,
"106","GINS2","IER3","RSAD2",,,,,"S100A11",,,,,,,
"107","GMNN","IER5","RTP4",,,,,"S100A13",,,,,,,
"108","GPSM2","IFRD1","SAA1",,,,,"S100A16",,,,,,,
"109","GTSE1","IL8","SAMD9",,,,,"S100A2",,,,,,,
"110","H1F0","IRX2","SAMD9L",,,,,"S100A6",,,,,,,
"111","H2AFV","ITPKC","SAMHD1",,,,,"SERINC2",,,,,,,
"112","H2AFX","JAG1","SERPING1",,,,,"SERPINE1",,,,,,,
"113","H2AFZ","JUN","SERPINH1",,,,,"SERPINE2",,,,,,,
"114","HAUS1","JUNB","SLFN5",,,,,"SH3BGRL3",,,,,,,
"115","HELLS","JUND","SOD2",,,,,"SLC25A6",,,,,,,
"116","HINT1","KCNQ1OT1","SP100",,,,,"SLC38A5",,,,,,,
"117","HIRIP3","KDM6B","SP110",,,,,"SMS",,,,,,,
"118","HIST1H1D","KIAA1683","SPP1",,,,,"SPINK6",,,,,,,
"119","HIST1H1E","KLF10","SQRDL",,,,,"STEAP4",,,,,,,
"120","HIST1H2BJ","KLF2","STAT1",,,,,"STOM",,,,,,,
"121","HIST1H4C","KLF4","TAP1",,,,,"SULT1E1",,,,,,,
